weather_severity,rain_intensity,visibility,wind_severity,night_indicator,road_disruption,historical_incident_density,distance_to_emergency_service,nearby_service_density,tourist_area_indicator,area_activity_level,route_condition,time_of_day,risk_score
26.45,6.79,6.56,10.73,1.0,17.58,0.436,3.94,5.0,1.0,9.23,98.41,2.0,35.0
25.62,0.0,8.01,9.88,0.0,51.11,0.897,10.77,3.93,1.0,8.71,44.42,4.0,32.0
28.17,0.0,5.22,18.56,1.0,7.3,0.624,8.77,5.89,0.0,4.97,87.71,2.0,31.4
16.76,0.0,7.17,21.61,0.0,17.5,0.956,10.76,3.85,0.0,1.99,62.9,4.0,19.5
59.12,9.2,5.44,16.91,0.0,9.93,1.176,9.62,8.18,1.0,10.0,57.71,8.0,46.0
20.75,0.0,9.64,6.98,0.0,62.4,0.476,10.09,6.05,0.0,3.97,68.64,4.0,26.5
25.35,0.0,6.83,15.48,0.0,10.87,0.769,7.13,2.06,0.0,0.32,70.9,2.0,20.7
10.31,0.0,6.62,17.85,0.0,9.36,0.13,10.0,5.88,0.0,8.32,78.7,8.0,13.6
24.12,0.0,9.79,25.94,1.0,75.24,0.877,8.87,4.87,0.0,6.24,46.06,2.0,45.1
51.2,12.17,5.16,43.53,0.0,36.61,1.294,5.02,0.0,0.0,5.08,36.62,2.0,48.2
53.49,6.05,4.99,41.28,0.0,14.49,1.348,0.3,8.34,0.0,4.89,79.53,4.0,33.7
42.59,7.23,8.48,23.67,1.0,19.05,3.02,2.67,2.76,1.0,8.8,55.08,2.0,59.8
28.53,0.0,9.06,22.2,0.0,17.24,2.036,0.98,5.25,0.0,9.47,68.35,2.0,21.0
24.79,20.2,5.42,25.2,1.0,0.88,0.768,8.96,5.84,1.0,6.25,80.94,2.0,43.9
43.17,0.0,7.0,12.7,1.0,17.32,1.726,3.63,5.04,0.0,3.38,70.22,2.0,48.9
19.71,0.0,9.17,12.65,1.0,1.78,0.791,1.92,6.72,0.0,4.56,66.15,2.0,27.9
37.52,0.0,8.95,34.02,0.0,37.81,1.114,3.92,6.91,1.0,4.25,54.31,4.0,32.8
30.61,0.0,8.5,11.08,1.0,10.4,1.953,4.11,5.42,0.0,4.72,88.12,2.0,31.7
30.32,0.0,8.33,8.87,0.0,6.01,0.504,5.22,2.9,1.0,9.52,82.93,4.0,22.6
48.45,0.0,6.33,15.66,0.0,13.33,0.885,7.47,5.22,0.0,5.38,88.74,2.0,23.7
9.1,0.0,7.63,7.03,0.0,18.12,0.813,6.36,7.58,0.0,5.9,47.27,8.0,12.5
32.53,0.0,7.68,17.33,0.0,50.58,0.95,7.95,4.71,0.0,7.03,50.72,2.0,41.0
60.46,4.0,4.78,30.0,0.0,4.46,0.844,8.79,1.78,1.0,6.45,62.4,4.0,41.0
22.81,0.0,6.16,25.18,0.0,14.83,0.493,0.5,7.51,1.0,4.71,73.97,8.0,26.6
31.19,0.0,7.88,21.16,0.0,48.89,0.69,19.84,3.98,1.0,6.65,92.89,4.0,33.1
27.35,0.0,10.16,32.92,0.0,0.81,0.491,7.64,6.93,0.0,4.74,70.9,2.0,9.7
21.11,2.36,3.94,9.81,0.0,3.31,0.495,20.23,3.79,1.0,8.64,61.77,8.0,31.2
6.88,3.54,7.59,6.11,0.0,15.36,1.049,3.07,6.12,0.0,6.52,72.19,4.0,16.5
10.78,16.13,7.29,5.17,0.0,2.45,1.073,34.67,4.42,0.0,0.9,45.07,4.0,39.4
37.5,0.0,10.02,17.8,0.0,14.58,0.719,3.24,3.63,0.0,1.88,29.79,4.0,25.4
81.63,6.26,9.4,24.38,1.0,19.07,1.442,2.4,6.07,1.0,9.31,45.81,2.0,46.8
12.36,0.0,8.11,23.94,0.0,14.69,0.961,3.25,3.25,1.0,4.66,60.3,8.0,19.1
14.08,0.0,12.52,5.32,1.0,92.76,2.814,3.1,1.17,1.0,9.06,63.8,2.0,63.0
33.76,13.13,7.32,33.3,0.0,17.57,0.464,2.9,6.58,0.0,0.0,87.45,4.0,18.6
31.94,0.0,9.67,11.32,0.0,15.93,1.2,3.96,3.72,0.0,8.59,91.47,2.0,17.6
37.48,1.82,5.53,31.74,0.0,12.07,1.811,6.5,5.62,0.0,5.13,84.41,4.0,31.1
33.34,0.0,8.91,13.07,1.0,78.81,1.019,2.88,5.54,0.0,7.33,34.64,2.0,59.5
16.74,3.37,9.9,21.17,0.0,3.56,1.967,6.52,6.49,0.0,5.37,65.55,4.0,22.8
28.64,0.0,6.76,16.46,0.0,0.16,1.469,4.41,6.98,0.0,8.08,95.48,2.0,23.8
35.68,0.0,2.72,25.26,1.0,5.24,1.43,1.18,6.07,0.0,7.99,43.95,2.0,51.9
55.82,1.14,7.49,14.71,0.0,5.84,1.159,6.04,6.36,0.0,4.8,69.29,4.0,22.5
24.07,6.57,7.06,12.77,0.0,3.43,0.328,0.68,7.0,0.0,2.09,69.9,8.0,15.0
25.21,0.0,10.93,29.78,0.0,11.01,0.893,2.72,3.81,0.0,1.59,82.7,4.0,20.0
56.36,0.0,6.23,22.18,0.0,2.13,1.836,3.21,3.64,1.0,5.13,19.02,2.0,23.4
12.93,7.63,6.29,7.61,0.0,12.42,1.282,8.9,6.31,0.0,3.25,79.03,2.0,17.3
46.83,0.0,5.25,13.36,0.0,69.53,1.549,14.37,1.25,1.0,10.0,37.66,8.0,49.3
18.3,0.0,7.19,8.27,1.0,7.91,1.229,2.14,2.21,0.0,3.96,84.43,2.0,34.6
35.47,0.0,13.27,35.24,0.0,9.29,1.077,0.6,1.32,0.0,5.76,45.92,2.0,22.8
31.53,0.0,4.88,21.86,0.0,3.21,0.767,4.46,7.43,1.0,4.04,71.51,4.0,21.3
12.76,0.0,5.95,20.59,0.0,19.31,0.853,4.57,7.39,0.0,4.38,31.77,8.0,25.9
19.2,0.0,8.32,11.14,0.0,62.58,2.615,10.04,6.81,0.0,5.11,42.0,4.0,29.1
28.41,0.0,12.1,12.93,0.0,3.98,0.926,22.43,5.1,0.0,4.97,77.93,4.0,13.9
11.44,0.0,10.14,20.15,0.0,7.69,1.114,6.22,4.0,1.0,4.43,56.61,4.0,22.9
14.95,0.0,11.66,25.05,0.0,30.34,1.162,21.62,4.5,0.0,6.35,76.2,8.0,25.8
34.59,6.48,6.41,13.87,1.0,10.9,0.549,3.93,5.84,0.0,6.66,73.8,2.0,29.3
26.1,0.0,5.44,20.81,1.0,7.14,3.02,10.73,6.53,1.0,6.46,66.04,2.0,52.3
24.49,7.08,6.52,18.16,0.0,58.29,0.497,4.3,2.55,0.0,0.77,22.24,8.0,34.5
28.23,5.95,7.19,8.53,1.0,86.41,1.035,14.5,6.57,0.0,6.27,59.85,2.0,56.6
21.73,0.0,8.37,16.87,1.0,8.8,1.042,2.14,7.37,0.0,5.59,81.27,2.0,30.2
25.85,0.0,7.8,15.24,0.0,59.03,0.262,8.43,6.79,1.0,9.76,70.19,8.0,23.3
24.72,7.64,8.52,8.08,1.0,4.16,0.404,10.99,1.73,1.0,4.89,53.99,2.0,34.9
13.59,5.06,6.56,19.46,0.0,16.84,0.591,3.24,6.63,1.0,10.0,71.56,4.0,23.7
55.69,0.0,5.48,16.69,1.0,5.0,1.965,9.0,4.83,0.0,3.96,65.55,2.0,52.4
66.77,0.0,4.59,21.23,0.0,10.68,0.602,1.86,8.43,1.0,10.0,70.8,8.0,40.0
6.77,0.0,9.21,65.41,1.0,13.95,1.077,17.61,4.72,0.0,3.56,89.58,2.0,32.5
31.72,0.0,8.26,12.14,0.0,73.45,0.662,6.31,7.42,1.0,7.82,63.83,4.0,33.2
52.06,0.0,9.62,19.56,0.0,0.39,1.575,5.17,8.22,0.0,1.47,60.34,4.0,34.5
32.54,20.83,8.62,47.65,0.0,19.78,1.12,11.25,6.79,1.0,6.54,76.44,2.0,36.2
45.27,0.0,5.23,39.19,0.0,16.28,0.77,8.82,3.79,0.0,4.64,69.06,4.0,34.8
24.81,0.0,8.3,6.61,0.0,18.93,0.69,4.88,6.06,0.0,5.82,84.94,4.0,14.3
8.92,0.0,8.32,59.39,0.0,11.33,0.443,13.79,3.23,1.0,6.28,48.14,8.0,29.0
4.68,0.0,5.79,35.81,1.0,4.49,1.455,1.83,3.77,0.0,4.64,48.02,2.0,33.3
32.65,11.33,5.61,18.57,0.0,10.44,0.513,9.33,7.56,0.0,7.26,63.9,2.0,26.7
23.39,0.0,11.43,9.36,0.0,15.25,0.338,1.11,5.1,0.0,3.64,36.33,8.0,15.3
29.33,7.04,6.01,33.34,1.0,11.96,1.362,2.38,4.69,1.0,6.15,60.41,2.0,43.2
32.58,0.0,6.42,25.44,0.0,9.49,1.28,9.38,8.63,0.0,5.82,71.81,4.0,27.3
12.51,8.5,7.5,46.65,0.0,11.17,0.541,2.9,8.09,0.0,5.18,87.84,8.0,9.3
24.82,0.0,10.08,46.44,0.0,4.46,0.757,11.43,2.63,0.0,4.7,62.47,2.0,16.4
41.88,0.0,7.13,19.42,0.0,7.76,2.768,14.12,5.24,1.0,7.13,84.16,8.0,34.5
53.16,16.51,5.68,23.9,0.0,9.07,2.503,5.95,4.14,1.0,4.29,72.29,8.0,32.2
28.5,0.0,3.58,10.3,1.0,15.21,0.75,15.41,4.47,0.0,8.91,65.06,2.0,46.9
49.47,5.07,8.05,16.0,1.0,39.6,3.081,4.41,7.31,1.0,5.94,46.13,2.0,53.8
17.08,0.0,8.93,12.07,1.0,33.33,0.882,14.06,6.5,0.0,3.17,54.18,2.0,38.5
9.77,0.0,10.48,18.38,1.0,19.06,1.11,7.61,1.52,0.0,5.45,57.12,2.0,37.2
5.16,4.72,4.54,44.31,1.0,4.2,1.318,8.72,7.48,1.0,4.67,63.44,2.0,40.3
32.81,5.68,6.73,11.97,0.0,16.2,1.898,5.87,4.0,1.0,6.22,57.66,4.0,30.2
17.19,11.94,8.98,12.52,0.0,46.88,1.181,7.3,5.97,1.0,9.44,77.92,2.0,32.9
23.27,0.0,7.19,25.02,0.0,47.2,0.604,3.88,6.52,0.0,5.05,60.07,4.0,26.5
12.99,0.0,8.71,13.66,0.0,3.87,0.204,22.69,6.66,1.0,5.51,98.51,4.0,17.3
9.78,7.8,6.95,17.26,0.0,9.61,1.829,6.02,3.76,1.0,4.66,51.98,2.0,26.8
11.86,1.37,7.71,12.67,0.0,9.85,0.313,0.35,5.98,0.0,5.68,82.55,8.0,10.8
44.43,0.0,10.0,13.29,0.0,7.81,0.651,3.35,6.89,1.0,5.17,48.01,2.0,18.7
18.04,12.45,4.12,29.79,0.0,1.09,1.268,9.27,4.72,1.0,5.09,65.0,4.0,39.8
38.03,14.54,6.01,24.63,0.0,36.33,0.856,6.63,4.0,1.0,7.67,59.88,2.0,45.9
6.7,0.0,9.3,6.75,0.0,5.22,0.957,9.5,2.8,0.0,6.7,65.08,4.0,18.0
22.9,4.56,9.64,13.06,1.0,80.11,1.106,11.1,8.98,1.0,5.52,76.9,2.0,39.1
19.19,0.0,8.18,9.31,0.0,8.47,0.687,29.93,2.37,1.0,3.92,70.1,4.0,25.1
3.5,17.28,8.76,17.69,1.0,4.03,0.362,10.12,2.97,0.0,4.25,99.1,2.0,30.1
17.15,0.0,8.38,5.4,0.0,12.17,1.642,8.68,5.52,0.0,6.22,90.41,2.0,21.4
9.13,0.0,8.97,6.58,0.0,9.39,1.285,9.58,2.83,1.0,7.67,66.77,8.0,19.7
36.67,15.91,6.15,15.57,0.0,4.42,0.936,15.36,8.97,1.0,5.6,86.73,2.0,29.0
45.66,18.94,6.67,17.92,1.0,51.42,0.462,7.94,2.34,0.0,5.74,40.38,2.0,71.5
66.71,0.0,8.08,19.59,1.0,2.45,1.06,7.46,5.42,1.0,5.59,67.92,2.0,35.6
14.34,0.0,6.34,13.09,0.0,1.4,0.682,9.08,7.04,1.0,4.8,66.49,4.0,20.5
8.34,7.48,8.29,3.22,0.0,92.05,1.981,3.81,2.37,1.0,9.89,63.44,8.0,44.7
46.86,0.0,8.68,28.81,0.0,1.93,2.472,13.5,3.25,0.0,7.34,80.08,2.0,26.9
20.06,1.44,11.15,37.65,0.0,6.79,1.017,7.15,5.27,1.0,5.15,53.44,4.0,25.7
24.98,15.64,4.36,18.54,0.0,10.63,1.115,8.45,3.57,0.0,6.02,75.06,8.0,35.2
50.48,5.11,7.95,15.57,0.0,67.62,0.638,1.26,5.94,0.0,2.27,81.66,8.0,34.2
43.74,0.0,6.99,26.69,0.0,18.03,1.532,2.02,4.52,0.0,7.89,79.29,8.0,30.2
23.03,5.98,7.97,12.36,0.0,18.1,0.268,15.19,5.25,0.0,6.28,73.53,8.0,23.3
39.65,4.58,5.11,22.19,1.0,70.53,0.676,1.35,6.51,1.0,7.42,74.36,2.0,52.9
9.0,0.0,8.7,12.13,0.0,17.34,0.566,8.15,3.09,0.0,2.3,26.91,2.0,17.6
8.26,0.0,9.39,20.88,0.0,11.27,0.965,6.78,5.02,0.0,7.17,35.86,2.0,18.6
15.07,0.0,6.61,15.86,0.0,14.76,0.334,3.62,4.5,0.0,5.66,95.67,4.0,14.2
37.33,0.0,10.78,15.38,0.0,15.82,1.066,7.17,3.01,1.0,8.03,77.87,4.0,24.5
40.87,6.03,3.96,14.26,0.0,8.04,0.523,3.24,6.79,0.0,7.35,73.38,2.0,25.2
21.93,0.0,9.42,12.5,1.0,8.49,2.288,4.45,1.36,1.0,8.2,70.48,2.0,37.6
3.79,0.0,4.03,21.91,1.0,15.1,0.437,5.86,2.02,0.0,2.51,66.64,2.0,34.1
44.08,0.0,7.17,17.83,0.0,16.46,1.537,24.26,6.5,0.0,7.26,74.45,2.0,23.6
27.98,0.0,9.12,21.51,0.0,8.78,0.812,5.0,1.9,0.0,3.45,73.06,4.0,24.1
23.84,0.0,9.71,21.34,0.0,4.94,0.707,11.58,8.77,0.0,4.37,62.1,2.0,16.9
4.37,12.93,7.11,8.8,0.0,63.74,1.246,33.22,1.77,0.0,4.31,64.1,2.0,39.6
12.0,0.0,8.16,10.13,1.0,15.59,0.498,15.57,8.34,0.0,2.33,70.97,2.0,25.3
57.23,0.0,8.42,22.92,0.0,15.3,0.902,1.62,7.01,1.0,5.44,57.06,2.0,20.9
37.53,0.0,9.78,10.73,0.0,7.81,0.862,2.83,1.49,0.0,2.8,87.28,4.0,16.9
63.82,0.0,9.84,29.41,0.0,3.65,1.328,15.37,5.08,1.0,4.9,58.74,2.0,28.0
24.97,0.0,5.67,11.71,0.0,10.01,0.768,0.55,1.88,0.0,4.77,55.82,4.0,17.3
34.1,0.0,7.58,19.49,0.0,36.54,0.693,1.4,3.19,0.0,6.59,56.58,4.0,26.5
42.42,0.0,3.34,15.55,0.0,6.3,0.801,15.3,3.97,0.0,8.76,44.24,2.0,33.1
49.04,0.0,4.79,40.16,0.0,86.61,1.113,9.58,0.45,1.0,8.11,54.4,2.0,52.4
38.56,7.79,5.5,24.99,0.0,83.64,0.855,0.48,3.42,1.0,10.0,50.06,2.0,40.4
27.7,0.0,9.9,7.21,0.0,16.06,2.883,3.78,4.46,0.0,2.63,77.73,2.0,20.5
52.72,10.36,5.21,21.19,1.0,7.86,1.118,6.78,4.48,0.0,8.53,66.82,2.0,50.0
39.0,7.55,6.35,28.69,0.0,3.4,1.048,4.68,1.88,0.0,4.37,41.31,4.0,22.4
13.02,0.0,9.21,50.9,0.0,37.53,0.807,10.82,3.92,0.0,9.44,56.51,8.0,33.6
3.51,0.0,7.55,2.93,0.0,37.96,0.727,15.11,5.39,0.0,3.06,40.13,2.0,21.1
52.36,0.0,3.44,13.42,1.0,6.4,0.741,4.97,6.59,0.0,7.14,85.73,2.0,41.0
21.12,0.0,6.87,10.76,0.0,3.99,0.941,2.22,10.0,0.0,2.6,86.95,4.0,10.9
27.24,5.06,7.33,11.61,1.0,79.15,1.294,3.21,7.44,0.0,2.74,64.38,2.0,51.1
21.33,0.0,9.3,20.58,1.0,64.94,0.471,9.02,2.96,0.0,9.46,72.06,2.0,41.8
20.29,0.0,7.98,7.88,0.0,15.29,0.905,14.35,3.81,0.0,3.29,69.1,4.0,20.2
35.58,39.08,4.15,13.98,1.0,8.46,1.6,6.25,5.81,0.0,5.5,73.17,2.0,50.4
25.28,16.61,8.1,11.98,0.0,5.78,0.593,17.42,7.79,1.0,4.65,58.42,4.0,29.9
17.93,7.24,9.83,15.74,0.0,12.48,0.689,6.76,8.83,0.0,5.07,61.84,4.0,18.2
45.91,0.0,7.97,26.04,1.0,13.2,1.479,1.6,1.19,1.0,10.0,80.53,2.0,51.1
17.9,3.61,5.76,8.7,0.0,11.01,1.333,7.87,7.18,0.0,5.57,52.96,4.0,17.6
34.57,0.0,5.47,19.97,0.0,15.08,0.909,23.73,2.16,1.0,5.93,70.06,2.0,28.9
50.77,1.26,5.02,13.09,0.0,8.41,1.791,8.62,4.38,1.0,6.21,58.17,2.0,37.2
75.3,0.0,4.59,48.19,0.0,12.99,0.727,11.48,7.14,0.0,4.76,56.75,4.0,43.2
15.22,11.41,7.37,7.14,0.0,10.25,0.413,1.39,3.16,1.0,7.09,86.85,2.0,21.5
27.43,0.0,11.95,29.31,1.0,6.38,0.507,8.07,3.94,1.0,7.81,77.76,2.0,34.5
13.24,0.0,9.03,8.08,0.0,2.62,0.266,4.64,9.22,0.0,6.6,74.0,2.0,3.9
28.39,0.0,7.98,22.18,0.0,3.79,0.699,9.35,8.55,0.0,3.74,52.83,4.0,13.6
16.15,0.0,10.44,10.68,0.0,9.82,0.833,2.36,6.01,0.0,6.2,68.55,4.0,19.8
62.72,0.0,5.46,33.57,1.0,73.98,1.43,20.98,0.92,0.0,1.65,53.61,2.0,69.2
27.07,3.69,9.83,28.05,0.0,87.45,0.439,8.88,1.38,0.0,5.4,36.26,4.0,41.8
42.66,0.0,9.66,37.79,0.0,42.92,0.843,9.14,5.28,1.0,5.5,72.46,4.0,39.6
7.23,3.01,8.54,14.91,1.0,3.1,0.539,16.46,6.03,0.0,4.66,77.18,2.0,17.6
17.35,0.0,12.67,5.1,0.0,18.66,2.087,8.81,5.57,0.0,6.03,33.49,4.0,23.8
27.87,0.0,10.39,9.91,0.0,16.78,0.759,1.62,2.72,1.0,9.75,64.21,8.0,20.2
29.84,5.29,7.56,35.55,0.0,5.03,1.653,0.91,4.87,1.0,6.45,97.22,4.0,15.6
30.09,4.4,7.28,15.1,1.0,13.36,1.189,28.94,7.27,0.0,5.7,71.78,2.0,44.3
22.41,25.38,4.42,12.65,1.0,14.44,1.825,8.8,4.64,0.0,5.4,95.74,2.0,45.7
12.74,0.0,8.36,18.95,0.0,9.88,1.222,6.0,2.99,0.0,1.45,74.34,8.0,16.9
27.91,0.0,7.96,20.76,1.0,11.77,1.006,5.47,5.18,0.0,5.53,77.29,2.0,33.3
50.65,8.27,5.85,52.95,0.0,16.86,0.851,3.76,6.05,0.0,9.08,64.06,2.0,34.0
29.72,0.0,7.68,15.99,1.0,9.81,0.993,9.48,4.2,0.0,6.9,54.05,2.0,44.5
25.84,17.75,3.71,13.88,0.0,9.13,1.235,7.14,5.67,1.0,6.21,53.06,2.0,38.0
17.93,8.34,6.32,25.11,1.0,14.81,0.968,5.92,4.6,0.0,4.17,85.67,2.0,29.0
44.71,0.0,4.46,27.57,1.0,18.88,1.034,2.92,1.82,0.0,3.87,63.34,2.0,44.7
38.37,3.89,8.21,11.66,1.0,79.3,2.381,7.33,4.27,0.0,6.3,49.63,2.0,53.9
30.94,0.0,8.23,15.31,1.0,12.33,0.433,5.97,7.21,0.0,5.14,98.56,2.0,35.3
27.84,0.0,7.92,49.41,0.0,45.97,0.58,10.15,4.14,0.0,2.06,97.69,8.0,31.6
4.7,0.0,10.63,4.99,1.0,12.53,0.89,4.6,9.45,0.0,6.37,71.5,2.0,24.4
19.68,0.0,6.68,12.17,0.0,1.14,0.409,3.59,0.88,0.0,6.12,41.94,2.0,17.4
15.46,0.0,7.11,38.7,0.0,17.8,0.76,3.75,5.93,1.0,7.01,65.55,4.0,23.7
12.88,0.0,5.65,37.5,0.0,0.73,1.497,2.67,6.31,0.0,5.44,53.1,2.0,24.7
16.32,0.0,10.56,29.3,0.0,1.45,0.404,1.41,2.56,0.0,3.32,49.96,2.0,14.3
20.45,0.0,9.6,11.45,0.0,0.79,0.69,5.2,4.89,0.0,8.02,92.37,4.0,3.8
8.34,0.0,11.41,6.58,0.0,14.58,0.424,1.96,0.13,0.0,2.09,47.35,8.0,16.5
